,title,theme,key_words,url
35,SMASS ASTEROID SURVEY V2.1,earth science,"3220 murayama,3231 mila,3268 de sanctis,3285 ruth wolfe,32 pomona,1257 mora,124 alkeste,1198 atlantis,4606 saheki,456 abnoba,4562,4546 franck,4510 shawna,446 aeternitas,116 sirona,1166 sakuntala,1165 imprinetta,3321 dasha,3332 raksha,3354 mcnair,3381 mikkola,339 dorothea,3431 nakano,345 tercidina,1145 robelmonte,1144 oda,346 hermentaria,3494 purple mountain,349 dembowska,3501 olegiya,350 ornamenta,1143 odysseus,4440 tchantches,441 bathilde,43 ariadne,111 ate,3523 arina,3528 counselman,1110 jaroslawa,11066,354 eleonora,10 hygiea,1084 tamariwa,4376 shigemori,4373 crespo,4370 dickens,4353 onizaki,430 hybris,42 isis,4282 endate,4219 nakamura,1697 koskenniemi,169 zelia,4215 kamo,4179 toutatis,416 vaticana,1071 brita,1063 aquilegia,4165 didkovskij,4159 freeman,4156,4147 lennon,4145 maximova,4104 alu,4085 weir,4062 schiaparelli,4038 kristina,3559 violaumayer,3578 carestia,3586 vasnetsov,3628 boznemcova,4031 mueller,402 chloe,3657 ermolova,4025 ridley,3665 fitzgerald,4006 sandler,3674 erbisbuhl,292 ludovica,4005 dyagilev,1712 angola,1722 goffin,1725 crao,1743 schmidt,1749 telamon,167 urda,1772 gagarin,1781 van biesbroeck,1807 slovakia,1854 skvortsov,1679 nevanlinna,1658 innes,1653 yakhontovia,1651 behrens,1646 rosseland,1628 strobel,185 eunike,186 celuta,1892 lucienne,18 melpomene,1626 sadeya,1607 mavis,158 koronis,1584 fuji,157 dejanira,1906 naef,1907 rudneva,1929 kollaa,1933 tinchen,1934 jeffers,1967 menzel,196 philomela,1991 xb,1992 na,1992 ub,1995 hajek,1577 reiss,2011 veteraniya,support archives,ida,gaspra,asteroid,918 itha,915 cosette,900 rosalinde,8 flora,88 thisbe,879 ricarda,86 semele,863 benkoela,851 zeissia,82 alkmene,2014 vasilevskis,2017 wesson,2024 mclaughlin,204 kallisto,2060 chiron,2070 humason,2074 shoemaker,2078 nanking,2091 sampo,8176,813 baumeia,1534 nasi,811 nauheima,808 merxia,803 picka,7 iris,788 hohensteina,1518 rovaniemi,1501 baade,14 irene,149 medusa,2098 zyskin,787 moskva,774 armor,2105 gudy,2107 ilmari,2113 ehrdni,2119 schwall,211 isolda,2128 wetherill,752 sulamitis,7474,73 klytia,737 arequipa,7341,2130 evdokiya,732 tjilaki,2140 kemerovo,2143 jimarnold,2149 schwambraniya,2159 kukkamaki,2174 asmodeus,218 bianca,2204 lyyli,2215 sichuan,221 eos,2253 espinette,1480 aunus,72 feronia,1478 vihuri,1471 tornio,1463 nordenmarkia,1451 grano,2259 sofievka,724 hapag,722 frieda,720 bohlinia,71 niobe,2299 hanko,22 kalliope,230 athamantis,702 alauda,231 vindobona,2327 gershberg,6 hebe,234 barbara,68 leto,235 carolina,1393 sofala,138 tolosa,137 meliboea,1379 lomonosowa,2365 interkosmos,683 lanzia,675 ludmilla,237 coelestina,239 adrastea,2403 sumava,1375 alfreda,1358 gaika,134 sophrosyne,653 berenike,639 latona,631 philippina,61 danae,599 luisa,582 olympia,563 suleika,55 pandora,1325 inanda,2420 ciurlionis,2440 educatio,2442 corbett,2444 lederle,245 vera,248 lameia,2503 liaoning,2538 vanderlinden,2558 viv,256 walpurga,2590 mourao,2599 veseli,25 phocaea,550 senta,54 alexandra,541 deborah,53 kalypso,529 preziosa,519 sylvania,2645 daphne plane,518 halawe,2728 yatskiv,2775 odishaw,2790 needham,287 nephthys,289 nenetta,5145 pholus,5143 heracles,512 taurinensis,28 bellona,131 vala,1302 werra,511 davida,5118 elnapoul,509 iolanda,2908 shimoyama,290 bruna,291 alice,5065 johnstone,4 vesta,495 eulalia,4956 noymer,2920 automedon,128 nemesis,2923 schuyler,4948,4939,4002 shinagawa,2946 muchachos,2965 surikov,481 emita,480 hansa,477 italia,4761 urrutia,1289 kutaissi,1279 uganda,1273 helma,126 velleda,1264 letaba,2966 korsunia,297 caecilia,29 amphitrite,474 prudentia,3109 machin,471 papagena,470 kilia,467 laura,4673 bortle,314 rosalia,3153 lincoln,3155 lee,4640 hara,3158 anga,3167 babcock,4635 rimbaud,319 leona,3677 magnusson,36 atalante,371 bohemia,3740 menge,3748 tatum,374 burgundia,3759 piironen,3760 poutanen,3792 preston,384 burdigala,3869 norton,38 leda,3915 fukushima,3935 toatenmongakkai,3944 halliday,3963 paradzhanov,3968 koptelov,3999 aristarchus,39 laetitia,3 juno",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=EAR-A-M3SPEC-3-RDR-SMASS-V2.1
36,"ROSETTA-ORBITER 67P RPCLAP 2
PRL MTP007 V2.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RPCLAP-2-PRL-MTP007-V2.0
37,ROSETTA-ORBITER CHECK RSI 1/2/3 COMMISSIONING 2 0010 V1.0,earth science,"international rosetta mission,unknown",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-X-RSI-1%2F2%2F3-CVP2-0010-V1.0
38,On-Demand Telemetry,,"active,armstrong flight research center",https://techport.nasa.gov/view/93947
39,NLDAS Noah Land Surface Model L4 Monthly 0.125 x 0.125 degree V002 (NLDAS_NOAH0125_M) at GES DISC,"nldas,geospatial","atmosphere,surface water,national geospatial data asset,snow/ice,terrestrial hydrosphere,ngda,surface thermal properties,surface radiative properties,earth science,soils,atmospheric radiation,atmospheric temperature,atmospheric water vapor,precipitation,biosphere,vegetation,land surface",https://doi.org/10.5067/NOXZSD0Z6JGD
40,MLS/Aura Level 3 Monthly Binned Geopotential Height (GPH) on Assorted Grids V005 (ML3MBGPH) at GES DISC,"aura,geospatial","earth science,atmosphere,altitude",https://doi.org/10.5067/Aura/MLS/DATA/3537
41,ISS_COORDS_2021-03-02,space science,"location,station,ephemeris,coordinates,coords,trajectory,space,international,topo,iss",https://spotthestation.nasa.gov
42,"Multi-Element Lean Direct Injection Combustor Single Element Demonstration, Phase I",,"completed,glenn research center",https://techport.nasa.gov/view/8726
43,MISR Level 3 Cloud Motion Vector yearly Product in netCDF format V002,"misr,geospatial","earth science,atmosphere,clouds",https://doi.org/10.5067/Terra/MISR/MI3YCMVN_L3.002
44,Global Development Potential Indices,"lulc,geospatial","earth science,human dimensions,environmental impacts",https://doi.org/10.7927/k9t6-gh59
45,SARAL Near-Real-Time Value-added Operational Geophysical Data Record Sea Surface Height Anomaly,"saral,geospatial","earth science,oceans,sea surface topography,ocean waves",https://doi.org/10.5067/AKASA-XOGD1
46,ROSETTA-ORBITER CHECK RPCMAG 3 CR5 CALIBRATED V9.0,earth science,"international rosetta mission,checkout",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-X-RPCMAG-3-CR5-CALIBRATED-V9.0
47,"3-D Wind and Turbulence Measurement System for UAV, Phase I",,"ames research center,completed",https://techport.nasa.gov/view/6279
48,MISR Level 3 Component Global Land Product covering a day subset for the UAE region V004,"uae_2004,geospatial","earth science,atmosphere,atmospheric radiation,biosphere,vegetation",https://cmr.earthdata.nasa.gov:443/search/concepts/C1627523794-LARC.html
49,CAR CLASIC BRDF Measurements V2 (CAR_CLASIC_BRDF) at GES DISC,"car,geospatial","earth science,atmosphere,atmospheric radiation,land surface,surface radiative properties,oceans,ocean optics",https://doi.org/10.5067/0JRNK6HDB9ZG
50,ARISE 2014 C-130 In-Situ Meteorological and Navigational Data,"arise,geospatial","earth science,atmosphere,atmospheric water vapor,atmospheric winds,atmospheric temperature,atmospheric pressure",https://doi.org/10.5067/AIRCRAFT/ARISE_MetNav_AircraftInSitu_C130_Data_1
51,"AIRS-AMSU variables-CloudSat cloud mask, radar reflectivities, and cloud classification matchups V3.2 (AIRSM_CPR_MAT) at GES DISC","measures,geospatial","earth science,atmosphere,clouds",https://doi.org/10.5067/MEASURES/WVCC/DATA201
52,DEEP IMPACT/EPOXI DOCUMENTATION SET V2.0,earth science,"tres-2,wasp-3,tres-3,hat-p-7,deep impact,epoxi,calibration,103p/hartley 2 (1986 e2),9p/tempel 1 (1867 g1),earth,hat-p-4,gj 436,xo-3,xo-2",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=DI-C-HRII%2FHRIV%2FMRI%2FITS-6-DOC-SET-V2.0
53,Collaborative Testing of Turbulence Models: Other Flow Cases,aerospace,"models,cases,turbulence,flow,compressible,incompressible",http://turbmodels.larc.nasa.gov/bradshaw.html
54,AOL,geospatial,"earth science,oceans,ocean chemistry,ocean optics,ocean temperature,salinity/density",https://doi.org/10.5067/SeaBASS/AOL/DATA001
55,RSW-CFL3D-Schuster-Fine Grid,,"dashlink,ames,nasa",https://c3.nasa.gov/dashlink/resources/535/
56,ODY MARS GAMMA RAY SPECTROMETER 4 DND V1.0,earth science,"2001 mars odyssey,mars",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=ODY-M-GRS-4-DND-V1.0
57,BOREAS TE-09 in situ Understory Spectral Reflectance within the NSA,"boreas,geospatial","earth science,atmosphere,atmospheric radiation,biosphere,ecosystems",https://doi.org/10.3334/ORNLDAAC/338
58,"IHW COMET HALLEY INFRARED IMAGE DATA, V2.0",earth science,"1p/halley 1 (1682 q1),calibration,international halley watch",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=IHW-C-IRIMAG-3-EDR-HALLEY-V2.0
59,BOREAS Follow-On DSP-10 Regridded TM Mosaic Land Cover Maps for 1994,"boreas,geospatial","earth science,land surface,land use/land cover",https://doi.org/10.3334/ORNLDAAC/602
60,LP L RSS LINE OF SIGHT ACCELERATION PROFILES V1.0,earth science,"lunar prospector,moon",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=LP-L-RSS-5-LOS-V1.0
61,"IceBridge Scintrex CS-3 Cesium Magnetometer L0 Raw Magnetic Field, Version 1",geospatial,"earth science,solid earth,geomagnetism",https://doi.org/10.5067/NKOACUH8VF34
62,ROSETTA-ORBITER 67P MIDAS 3 ESC3 SAMPLES V3.0,earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-MIDAS-3-ESC3-SAMPLES-V3.0
63,Fundamental Hyperelastic Material Study Project,,"armstrong flight research center,active,project",http://techport.nasa.gov/view/14396
64,"LBA-ECO LC-22 Field Validation of MODIS Deforestation Detection, Brazil, 2005","lba-eco,geospatial","national geospatial data asset,biosphere,earth science,ecosystems,land surface,land use/land cover,ngda",https://doi.org/10.3334/ORNLDAAC/1260
65,MODIS/Terra+Aqua BRDF/Albedo QA ValidobsBand7 Daily L3 Global 30ArcSec CMG V061,"terra,aqua,geospatial","earth science,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MCD43D39.061
66,Development of Organic FET (OFET)-Based Flexible Integrated Controller for Deformable Mirrors Project,,"active,project,jet propulsion laboratory",http://techport.nasa.gov/view/14383
67,Lab2000,geospatial,"earth science,oceans,ocean chemistry,ocean optics,ocean temperature,salinity/density,ngda,national geospatial data asset",https://doi.org/10.5067/SeaBASS/LAB2000/DATA001
68,GOZCARDS Source Hydrogen Chloride 1 month L3 10 degree Zonal Means on a Vertical Pressure Grid V1 (GozSmlpHCl) at GES DISC,"measures,geospatial","earth science,atmosphere,atmospheric chemistry",https://doi.org/10.5067/MEASURES/GOZCARDS/DATA3001
69,"Compact, Efficient, and Reliable Ventilation Fan for EVA Suits, Phase I",,"johnson space center,completed",https://techport.nasa.gov/view/8093
70,ASTEROID SPIN VECTORS V4.1,earth science,"support archives,asteroid",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=EAR-A-5-DDR-ASTEROID-SPIN-VECTORS-V4.1
71,A room-temperature all-solid-state 4.7 THz multiplied LO source to enable the heterodyne observation of interstellar neutral oxygen,,active,https://techport.nasa.gov/view/13956
72,"CMS: Forest Inventory and Biophysical Measurements, Para, Brazil, 2012-2014","cms,geospatial","earth science,biosphere,vegetation",https://doi.org/10.3334/ORNLDAAC/1301
73,"A Solid Expellant Plasma Source/Contactor for Electrodynamic Tethers, Phase I",,"completed,marshall space flight center",https://techport.nasa.gov/view/7543
74,ROSETTA-ORBITER 67P RPCMAG 4 ESC4 RESAMPLED V9.0,earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RPCMAG-4-ESC4-RESAMPLED-V9.0
75,TMI/TRMM precipitation and uncertainty (TMPA) L3 3 hour 0.25 degree x 0.25 degree V001 (WC_MULTISEN_PREC_025) at GES DISC,"measures,geospatial","earth science,atmosphere,precipitation",https://doi.org/10.5067/MEASURES/WATERCYCLE/DATA312
76,OMPS/NPP L1B NM Radiance EV Calibrated Geolocated Swath Orbital V2 (OMPS_NPP_NMEV_L1B) at GES DISC,"npp-jpss,geospatial","ngda,ultraviolet wavelengths,spectral/engineering,earth science,national geospatial data asset",https://doi.org/doi:10.5067/DL081SQY7C89
77,"TROPESS CrIS-SNPP L2 Ammonia for West Coast Fires, Standard Product V1 (TRPSDL2NH3CRSWCF) at GES DISC","tropess,geospatial","earth science,atmosphere,atmospheric chemistry",https://doi.org/10.5067/U54WBM8OXJO7
78,"Protecting cardiomyocytes from mixed fields of radiation by BIO 300, Phase I",,"active,langley research center",https://techport.nasa.gov/view/93710
79,"LBA-ECO ND-11 Soil Properties of Forested Headwater Catchments, Mato Grosso, Brazil","lba-eco,geospatial","earth science,land surface,soils",https://doi.org/10.3334/ORNLDAAC/914
80,"Sea Ice Index, Version 3",geospatial,"earth science,cryosphere,sea ice",https://doi.org/10.7265/N5K072F8
81,Magellan Venus Stereo-Derived Topography Bundle,earth science,"magellan,venus",https://pds.nasa.gov/ds-view/pds/viewBundle.jsp?identifier=urn%3Anasa%3Apds%3Amagellan_stereo_topography&version=1.0
82,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     COMET ESCORT 2 0855 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-ESC2-0855-V1.0
83,ROSETTA-ORBITER 67P/CAL ALICE 3 ESC2 V1.0,earth science,"international rosetta mission,calibration,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C%2FCAL-ALICE-3-ESC2-V1.0
84,NEAR SPICE KERNELS EARTH,earth science,"near earth asteroid rendezvous,eros",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=NEAR-A-SPICE-6-EARTH-V1.0
85,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     COMET ESCORT 1 0488 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-ESC1-0488-V1.0
86,Mowing Experiment Exotech Data (FIFE),"fife,geospatial","earth science,atmosphere,atmospheric radiation,biosphere,vegetation",https://doi.org/10.3334/ORNLDAAC/56
87,Aquarius Official Release Level 3 Ancillary Reynolds Sea Surface Temperature Standard Mapped Image Ascending Daily Data V5.0,"aquarius sac-d,geospatial","earth science,oceans,ocean temperature",https://doi.org/10.5067/AQR50-3R1AS
88,EGEE5,geospatial,"earth science,oceans,ocean chemistry,ocean optics,ocean temperature,salinity/density",https://doi.org/10.5067/SeaBASS/EGEE5/DATA001
89,IHW COMET HALLEY METEOR ETA AQUARID VISUAL DATA V1.0,earth science,"international halley watch,halley,eta-aquarid",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=IHW-C-MSNVIS-3-RDR-HALLEY-ETA-AQUAR-V1.0
90,SnowEx20 Grand Mesa IOP BSU 1 GHz Multi-polarization GPR CMP Snow Water Equivalent V001,geospatial,"earth science,terrestrial hydrosphere,snow/ice",https://doi.org/10.5067/SOFEX3867ECJ
91,EPOXI 103P/HARTLEY2 ENCOUNTER - MRI RAW IMAGES V1.0,earth science,"103p/hartley 2 (1986 e2),epoxi",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=DIF-C-MRI-2-EPOXI-HARTLEY2-V1.0
92,MISR Level 3 Cloud Top Height-Optical Depth Product covering a year V001,"misr,geospatial","earth science,atmosphere,clouds",https://doi.org/10.5067/TERRA/MISR/MIL3YCOD.001
93,"Blocking Filters with Enhanced Throughput for X-Ray Microcalorimetry, Phase II",,"goddard space flight center,completed",https://techport.nasa.gov/view/7760
94,CALIPSO Lidar L2 5 km Cloud Layer Data V1-10,earth science,"eos,climate,radiation,satellite,atmospheric science,aerosol,cloud",https://data.nasa.gov/d/24c2-frj2
95,FIRE_AX_UKMO_C130,"fire,geospatial","national geospatial data asset,ngda",https://cmr.earthdata.nasa.gov:443/search/concepts/C1000001050-LARC_ASDC.html
96,MARINER9 IRIS RDR V1.0,earth science,"mariner71,mars",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=MR9-M-IRIS-3-RDR-V1.0
97,Passively-Coded Embedded Wideband Microwave Sensors for Material Characterization and Structural Health Monitoring (SHM),,"active,missouri university of science and technology",https://techport.nasa.gov/view/93951
98,"Ultra Low Noise 1.06 Micron Laser Oscillator, Phase II",,"jet propulsion laboratory,completed",https://techport.nasa.gov/view/5529
99,PICO Mooring data for the SPURS-1 N. Atlantic field campaign,"spurs,geospatial","earth science,oceans,ocean temperature,salinity/density",https://doi.org/10.5067/SPUR1-MOOR2
100,"Compact Kinetic Mechanisms for Petroleum-Derived and Alternative Aviation Fuels, Phase I",,"glenn research center,completed",https://techport.nasa.gov/view/18364
101,VIIRS/NPP Burned Area Monthly L4 Global 500m SIN Grid V001,"npp-jpss,geospatial","earth science,biosphere,ecological dynamics,human dimensions,natural hazards",https://doi.org/10.5067/VIIRS/VNP64A1.001
102,"Fast Responding PSP for Rotorcraft Aerodynamic Investigations, Phase I",,"completed,langley research center",https://techport.nasa.gov/view/8377
103,CAMP2Ex P-3 In-Situ Cloud Data,"camp2ex,geospatial","earth science,atmosphere,clouds",https://doi.org/10.5067/Airborne/CAMP2Ex_Cloud_AircraftInSitu_P3_Data_1
104,GALILEO ORBITER UVS JUPITER OPERATIONS EDR DATA,earth science,galileo,https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=GO-J-UVS-2-EDR-JUPITER-V1.0
105,ICE SOLAR WIND PLASMA ELECTRON ANALYSER DATA V1.0,earth science,"international cometary explorer,giacobini-zinner",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=ICE-C-SWPLAS-3-RDR-GIACOBIN-ZIN-V1.0
106,RON_BROWN,geospatial,"ocean optics,salinity/density,ocean temperature,earth science,ocean chemistry,national geospatial data asset,oceans,ngda",https://doi.org/10.5067/SeaBASS/RON_BROWN/DATA001
107,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F11 Microwave Analyses,"measures,geospatial","earth science,oceans,ocean winds",https://doi.org/10.5067/CCF25-01F11
108,HNX/DragonTIGER Instrument Development Project,,"completed,project,goddard space flight center",http://techport.nasa.gov/view/14563
109,Site Averaged Flux Data: 1988 (Betts),"fife,geospatial","earth science,atmosphere,atmospheric radiation,land surface,soils",https://doi.org/10.3334/ORNLDAAC/94
110,"LBA-ECO ND-02 Soil Volumetric Water Content, Tapajos National Forest, Brazil","lba-eco,geospatial","earth science,biosphere,ecosystems",https://doi.org/10.3334/ORNLDAAC/1061
111,RapidScat Level 2B Ocean Wind Vectors in 12.5km Slice Composites Version 1.2,"iss_rapidscat,geospatial","earth science,oceans,ocean winds",https://doi.org/10.5067/RSX12-L2B12
112,"Compact, Low Current Superconductor Coil Operating Above 15 K for Magnetic Cooling, Phase I",,"active,goddard space flight center",https://techport.nasa.gov/view/94534
113,An Event-based Distributed Diagnosis Framework using Structural Model Decomposition,,"nasa,dashlink,ames",https://c3.nasa.gov/dashlink/resources/921/
